研报名称,机构名称,发布时间,行业,研报地址
建筑行业2022年报&2023一季报总结：基建和专业工程相对较好,中国银河,2023-05-22,装修装饰,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305221587040625
建筑装饰行业深度研究：“一带一路”：十周年，奋楫新征程，扬帆再出发,天风证券,2023-05-19,装修装饰,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305191586952064
建筑装饰：统计局1-4月基建数据点评-基建投资增速承压下修，水利管理逆势扩大增,国信证券,2023-05-17,装修装饰,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305171586715053
建筑行业周观点：Q1业绩印证行业整体质效提升，关注“AI+建筑设计”龙头,国信证券,2023-05-16,装修装饰,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305161586675155
建筑行业2022年报＆2023一季报综述：业绩整体稳健，现金流同比改善,国信证券,2023-05-15,装修装饰,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586633501
建筑装饰行业研究周报：坚定看好“中特估”+“一带一路”双主线,天风证券,2023-05-15,装修装饰,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586632419
洁净室工程行业专题报告：服务现代化产业体系，双轮驱动、长坡厚雪,中泰证券,2023-05-15,装修装饰,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586625303
建筑装饰行业2022年报及2023一季报业绩综述：现金流明显改善，“中特估”+“一带一路”背景下业绩有望加速修复,东莞证券,2023-05-12,装修装饰,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586534965
建筑行业周报：密切关注中吉乌铁路推进节奏，重点推荐低估绩优央国企、重点关注工程咨询板块“卖铲人”,中泰证券,2023-05-09,装修装饰,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586393588
建筑行业周报：4月TOP100房企销售额环比下降同比上升,中银证券,2023-05-08,装修装饰,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586352966
建筑装饰行业跟踪周报：建筑PMI景气维持高位，继续推荐低估值建筑央国企和国际工程板块,东吴证券,2023-05-08,装修装饰,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305071586347520
建筑行业周报：建筑央企22年报多指标迎改善、专业化整合叠加“一带一路”深化，继续推荐低估绩优央国企,中泰证券,2023-04-03,装修装饰,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304031585032629
建筑装饰行业研究周报：重点关注安徽区域基建投资的力度和强度,天风证券,2023-04-03,装修装饰,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304031585032606
建筑装饰行业1-2月经济数据点评：1-2月基建数据靓丽，国企改革新阶段叠加“一带一路”迎催化，重点推荐低估值绩优央国企,中泰证券,2023-03-17,装修装饰,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303171584336277
建筑装饰：中沙伊发布历史性三方声明，重视一带一路新机遇,天风证券,2023-03-13,装修装饰,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303131584215753
建筑行业周报：一带一路建设有望升温，国企改革持续推进,安信证券,2023-03-13,装修装饰,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303131584211881
建筑装饰行业投资策略周报：本轮基建行情如何演绎,财通证券,2023-03-06,装修装饰,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303061584070062
建筑行业2023年3月投资策略：基建高景气，地产企稳复苏，建议积极布局建筑龙头,国信证券,2023-03-03,装修装饰,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303031583997968
建筑装饰行业周报：政策密集出台带动需求向好，看好建筑板块恢复性增长,国海证券,2023-02-27,装修装饰,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202302271583818888
建筑装饰行业月报：政策友好助力开工复工，基建板块需求有望恢复,国海证券,2023-02-20,装修装饰,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202302201583405392
