研报名称,机构名称,发布时间,行业,研报地址
电新行业双周报2023年第10期总第10期：新能源汽车产业政策支持力度加强 建议关注动力电池回收及充电桩等基础设施板块,长城国瑞证券,2023-06-27,电池,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306271591728253
锂电行业深度系列十二：大圆柱电池-电池技术新发展，量产推动相关材料需求共振,国信证券,2023-06-27,电池,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306271591710708
氢能行业报告1——制氢：绿氢平价可期，关注下一个从0-1行业的投资机会,天风证券,2023-06-27,电池,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306271591706588
锂离子电池隔膜 头豹词条报告系列,头豹研究院,2023-06-25,电池,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306251591283156
锂离子电池正极材料 头豹词条报告系列,头豹研究院,2023-06-21,电池,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306211591202837
锂电池行业下半年度投资策略：围绕三条主线布局,中原证券,2023-06-21,电池,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306211591150734
锂离子电池负极材料 头豹词条报告系列,头豹研究院,2023-06-20,电池,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306201591098871
锂电行业周报：车企半年收官战打响，景气度有望维持,川财证券,2023-06-19,电池,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306191591068124
新能源电池行业月度点评：需求端开始复苏，新能源渗透率稳步提升,财信证券,2023-06-19,电池,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306191591064279
氢能&燃料电池行业月报：FCV装机量延续高增长，电解槽迎持续开标,国金证券,2023-06-19,电池,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306191591064278
电力设备行业研究周报：欧盟“新电池法” 设定可持续性需求,申港证券,2023-06-19,电池,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306191591058726
EV观察系列140：5月新能车销量稳健增长，电池装机量环比提升,民生证券,2023-06-19,电池,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306191591056929
锂电产业链周评（6月第3周）：锂电企业出海进展向好，新能源车下乡助力需求提振,国信证券,2023-06-19,电池,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306191591056897
电力设备行业周报：板块上涨行业基本面向好，迎峰度夏看好虚拟电厂,华安证券,2023-06-19,电池,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306181591056417
电力设备与新能源行业周观察：关注电动车供给+需求双边际变化，江苏大丰海风项目开启招标,华西证券,2023-06-19,电池,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306181591056286
电力设备及新能源行业：基本面全面向好，看好估值修复行情,中国银河,2023-06-16,电池,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306161591019849
新能源电池行业点评：5月动力电池产量环比增长20.4%，出口量11.3GWh,财信证券,2023-06-14,电池,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306141590932511
锂电池行业月报：销量增长且创年内新高，板块可关注,中原证券,2023-06-12,电池,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306121590867719
锂电行业周报：支持政策频出，行业前景可期,川财证券,2023-06-12,电池,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306121590867666
电力设备新能源行业周报：国内需求组件扩产步伐加快，硅料价格下降下价格博弈有望见底,东海证券,2023-06-12,电池,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306121590863352
2023年锂电设备中期策略报告：锂电设备：聚焦结构性机会,浙商证券,2023-06-12,电池,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306121590850099
锂电产业链周评（6月第2周）：6月产业链生产有望持续回暖，比亚迪加速钠电产业化,国信证券,2023-06-12,电池,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306121590850015
锂电行业2023年上半年分析与展望：增速稳定出口靓丽，下半年表现可期,川财证券,2023-06-12,电池,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306121590849941
电力设备与新能源行业周报：5月新能源汽车销量同比增长60.2%，硅料价格快速下降激发需求,信达证券,2023-06-11,电池,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306111590847636
2023年钠离子电池下游应用市场解读：降本可期，下游应用前景广阔（摘要版）,头豹研究院,2023-06-09,电池,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306091590683236
电池行业研究：复合集流体2：设备与工艺篇,国金证券,2023-06-07,电池,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306071590508181
锂电行业研究框架,东亚前海证券,2023-06-06,电池,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306061590451939
电力设备新能源行业周报：新能源汽车购置税减免政策有望延续，广东省发布2023年海风竞配方案,东海证券,2023-06-05,电池,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306051590421630
固态电池行业深度：千呼万唤始出来，犹抱琵琶半遮面,东吴证券,2023-06-05,电池,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306051590414437
锂电产业链周评（6月第1周）：新能源车购置税减免政策延续，储能电芯报价短期上行,国信证券,2023-06-05,电池,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306051590402871
固态电池行业深度：产业化按下加速键，技术突破进行时,中邮证券,2023-06-04,电池,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306031590397129
动力电池产业链全景图：动力电池强势依旧，电池材料大有可为,平安证券,2023-06-02,电池,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202306021587861003
氢能&燃料电池行业研究：从海外公司年报看氢能行业系列（九）：总结篇，高增速、高订单、高扩产，氢能行业进入实质爆发前夕,国金证券,2023-05-31,电池,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305311587387429
电力设备行业深度研究：比亚迪：守正出奇，未来看高端化+出海演绎,天风证券,2023-05-31,电池,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305311587378722
电力设备与新能源行业周报：锂盐价格持稳，隔膜需求持续恢复,上海证券,2023-05-31,电池,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305311587378713
锂电行业周报：观望情绪出清，行业稳步增长,川财证券,2023-05-30,电池,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305301587354171
电力设备及新能源行业周报：电网投资持续高增，发改委再出重磅政策支持电改和储能发展提速,华福证券,2023-05-29,电池,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305291587328890
锂电产业链周评（5月第4周）：电池企业加快储能产品布局，锂盐报价略有回调,国信证券,2023-05-29,电池,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305291587328879
氢能&燃料电池行业研究：从海外公司年报看氢能行业系列（八）：Enapter,国金证券,2023-05-29,电池,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305291587328584
电力设备及新能源行业周报：SNEC上新技术、新产品精彩亮相；宁德时代发布全球首个零辅源光储融合解决方案,华金证券,2023-05-29,电池,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305291587324869
电力设备与新能源行业周观察：锂电竞争力持续增强，光储新兴市场创造增量,华西证券,2023-05-29,电池,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305281587324541
电动船舶行业深度报告：绿色智能大势已至，驶向电化百亿蓝海,国海证券,2023-05-28,电池,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305271587316876
