研报名称,机构名称,发布时间,行业,研报地址
电子行业05月周报：晶圆厂业绩承压，中芯国际Q2指引回暖,国联证券,2023-05-14 00:00:00.000,电子元件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305131586606541
2023年印制电路板PCB行业概览：电子信息产品制造放量在即，PCB下游应用遍地开花,头豹研究院,2023-05-12 00:00:00.000,电子元件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586539958
电子行业跟踪报告：基金积极加仓设备及算力板块，抱团现象有所缓解,万联证券,2023-05-12 00:00:00.000,电子元件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586528012
电子行业点评：谷歌推出轻量级AI模型，边缘算力升级加速,民生证券,2023-05-12 00:00:00.000,电子元件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586526084
电子行业2022年报&2023年一季报点评：静待花开，重点关注半导体板块,源达信息,2023-05-11 00:00:00.000,电子元件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586487185
电子行业2022年报&2023一季报回顾：预期回归，双主线布局电子板块,中国银河,2023-05-11 00:00:00.000,电子元件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586484037
电子行业点评：AI浪潮带领硬件板块估值重估,德邦证券,2023-05-11 00:00:00.000,电子元件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586482958
电子行业2022年年报&2023年一季报业绩综述：周期下行板块业绩承压，静待下游需求复苏,东莞证券,2023-05-10 00:00:00.000,电子元件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586450260
电子行业深度报告：AI系列深度：国内厂商受益AI算力需求增长，PCB有望量价齐升,东吴证券,2023-05-10 00:00:00.000,电子元件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586447733
电子行业2022年报与2023年一季报总结：业绩表现结构性分化，行业景气度有望迎来筑底回升,上海证券,2023-05-10 00:00:00.000,电子元件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586445161
Q1’23全球AMOLED手机面板出货量同比下滑11.4%，中国厂商出货份额增至37.8%,CINNO Research,2023-05-10 00:00:00.000,电子元件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586441764
电子行业2023中期投资策略：寻求高质量发展硬科技投资方向,开源证券,2023-05-10 00:00:00.000,电子元件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586437411
电子行业点评：思佳讯23Q2发展稳健，理性看待后续市场,平安证券,2023-05-10 00:00:00.000,电子元件,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586437410
