研报名称,机构名称,发布时间,行业,研报地址
食品饮料行业周报：去库存仍是主线，大众品强复苏途中,华鑫证券,2023-05-14 00:00:00.000,食品饮料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305141586621436
食品饮料行业周报：疤痕效应仍在，复苏空间可观,国联证券,2023-05-14 00:00:00.000,食品饮料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305131586610059
乳制品板块2022年及2023Q1总结：行业弱复苏，利润弹性可期,华鑫证券,2023-05-14 00:00:00.000,食品饮料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305131586606618
预制菜行业：群雄逐鹿，预制菜企业何以胜出？,国联证券,2023-05-14 00:00:00.000,食品饮料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586543578
啤酒行业2022年年报&2023年一季报综述：场景修复下需求上行，2季度高景气度有望延续,中银证券,2023-05-12 00:00:00.000,食品饮料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586541607
中国啤酒行业：产品结构加速提升，成本压力持续降低,浦银国际证券,2023-05-12 00:00:00.000,食品饮料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586535417
食品饮料行业4月月报：通缩压制市场表现，白酒触发杯弓蛇影,中原证券,2023-05-12 00:00:00.000,食品饮料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586528030
食品饮料行业2022年与2023年一季度业绩综述：内部表现分化，需求稳步复苏,东莞证券,2023-05-11 00:00:00.000,食品饮料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586487037
软饮料2022年及2023Q1总结：新品增量叠加成本改善，利润释放可期,华鑫证券,2023-05-11 00:00:00.000,食品饮料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586482976
"啤酒板块2022年和2023Q1总结：产品结构持续升级, 高端化趋势望加速",华鑫证券,2023-05-11 00:00:00.000,食品饮料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586482977
食品饮料&农业行业简评报告：关注食品细分赛道，自下而上觅变革,首创证券,2023-05-11 00:00:00.000,食品饮料,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586479779
