研报名称,机构名称,发布时间,行业,研报地址
物业管理行业研究周报：看好2023年业主增值服务收入增长,申港证券,2023-05-22,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305221587043452
物管行业2022年报综述：“狂飙”时代已落幕，分化阶段徐开启,东吴证券,2023-05-22,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305221587043035
房地产行业数据点评：销售保持温和复苏，投资持续走弱,湘财证券,2023-05-19,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305191586964202
房地产及物管行业周报2023年W19：中介费率政策落地，核心城市土拍亮眼,浙商证券,2023-05-16,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305161586673350
物业管理行业研究周报：4月拓展数据回落 头部物企仍具韧性,申港证券,2023-05-15,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586632430
房地产行业研究周报：房地产经纪行业新政如何解读？,天风证券,2023-05-15,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586625234
地产行业五大热点话题再探讨：从市场供需到房企成长,平安证券,2023-05-11,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586490284
房地产服务行业年度报告：地产影响分化，国企表现更优,国金证券,2023-05-08,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586355013
物业管理行业研究周报：物企非住业态赛道延伸之IFM,申港证券,2023-05-04,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586267267
月酝知风之地产行业：四月小阳春热度回落，核心城市地市回温,平安证券,2023-04-28,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304281586054453
房地产：全面实现不动产统一登记解读-全面实现不动产统一登记，促进行业平稳健康发展,德邦证券,2023-04-26,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304261585862291
2023年第16周地产周报：核心城市土拍回温，因城施策持续优化,东方证券,2023-04-25,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304251585804571
物业管理行业研究周报：华润万象生活与平安不动产达成战略合作,申港证券,2023-04-24,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585732007
物业管理行业深度报告：行业回归理性发展，长期成长逻辑未变,万联证券,2023-04-21,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304211585657160
房地产及物业行业周报：新房价格温和上涨，土拍市场热度延续,首创证券,2023-04-18,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304181585550762
物业管理行业研究周报：3月物企外拓增速略有降低,申港证券,2023-04-18,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304181585535028
房地产行业跟踪周报：70城房价连续两月上涨，销售环比回暖,东吴证券,2023-04-18,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304181585525793
房地产行业周报：多地出台提振需求政策,国联证券,2023-04-17,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304161585489141
房地产行业第15周周报：新房二手房销售回升，3月房价持续改善,信达证券,2023-04-17,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304161585488857
地产杂谈之四十四：从新房供应结构变迁看二手房复苏,平安证券,2023-04-12,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304121585347532
物业2022年报综述：重整再出发，机遇轮动,浙商证券,2023-04-12,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304121585346872
房地产及物管行业周报2023年W14：销售数据环比回落，税务总局延续契税减免,浙商证券,2023-04-11,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304111585270811
物业管理行业研究周报：物企短暂“增收不增利”情况,申港证券,2023-04-10,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304101585254858
物业管理行业事件点评：万物云：循环型业务实现有质量的增长，蝶城与空间物联战略持续推进,中银证券,2023-04-03,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304031585057148
月酝知风之地产行业：房企资产盘活再添助力，小阳春热度持续,平安证券,2023-03-28,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303281584610330
物业管理行业研究周报：商业及写字楼市场复苏助力物企商写板块增长,申港证券,2023-03-27,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303271584567239
房地产行业2月月报：稳支柱与防风险并重，行业景气度有所修复,东兴证券,2023-03-24,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303241584531217
物业管理行业研究周报：而今迈步从头越：金科服务减值后再出发,申港证券,2023-03-20,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303201584398697
物业服务行业2022年报展望,中泰证券,2023-03-16,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303161584308892
房地产及物业行业周报：市场热度小幅波动，出险房企展期取得进展,首创证券,2023-03-16,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303161584306860
房地产行业跟踪报告：销售回暖，竣工修复,万联证券,2023-03-15,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303151584287945
房地产：早八点|上周楼市整体环比略降，同比大幅提升；土地整体供求较上周走高,中国指数研究院,2023-03-15,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303151584285347
物业管理行业研究周报：2月外拓保持同比增速超50%,申港证券,2023-03-13,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303131584215721
物业管理行业研究周报：碧桂园服务发布业绩预告 不利因素致盈利下滑,申港证券,2023-03-07,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303071584085189
房地产行业周观点：地产销售持续复苏，因城施策力度未松,国信证券,2023-03-06,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202303061584063704
房地产服务行业深度报告：阴霾渐散曙光已现，聚焦内生回归本源,东吴证券国际经纪,2023-02-28,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202302281583865396
物业管理行业研究周报：年内首家国资物企递交招股书,申港证券,2023-02-27,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202302271583821505
房地产及物管行业周报2023年W8：不动产私募基金落地，短期内市场回温趋势已成,浙商证券,2023-02-27,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202302271583816934
房地产行业：2022年上海商办一手买卖市场分析报告,城市测量师行,2023-02-27,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202302271583811776
内地房地产行业周报：成交环比稳步上涨，二手市场热度回升,中达证券投资,2023-02-17,房地产服务,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202302171583277829
