研报名称,机构名称,发布时间,行业,研报地址
证券Ⅱ行业专题报告：半年度策略：业绩向上，价值重估,浙商证券,2023-05-18,证券,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305181586774598
看好“金特估”开启券商估值新一轮修复：“金特估”背景下，看好券商股业绩和估值带来的戴维斯双击。,财通证券,2023-05-17,证券,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305171586715089
证券行业2022年及2023一季报综述：自营是业绩胜负手，看好手续费收入改善,开源证券,2023-05-17,证券,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305171586707421
证券行业数据点评：业绩显著改善，估值修复可期,湘财证券,2023-05-16,证券,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305161586692530
非银金融行业日报：沪指“深V”反转涨逾1%，再度站上3300点,大同证券,2023-05-16,证券,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305161586678987
证券行业深度专题：中国特色估值体系：券商重估,浙商证券,2023-05-15,证券,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586633479
非银金融行业周报：银行存款利率下调利好非银，关注中特估主线标的,开源证券,2023-05-15,证券,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586632329
证券公司行业季度观察：2023年第一季度,联合资信,2023-05-15,证券,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586625195
证券行业周报：一季度券商私募资管规模缩水,东莞证券,2023-05-15,证券,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586625021
非银金融行业日报：沪指再度跌破3300点 两市交投情绪低迷,大同证券,2023-05-15,证券,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305151586624987
证券行业周报：自营利好充分释放，关注财富及投行优势券商,山西证券,2023-05-14,证券,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305141586620960
证券Ⅱ行业月度点评：一季度自营业绩大幅反弹，券商业绩有望持续改善,财信证券,2023-05-12,证券,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586527962
非银金融行业日报：沪指走出三连阴，两市量能跌破9000亿,大同证券,2023-05-12,证券,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305121586524293
券商行业22年&23Q1综述：市场触底回升行业业绩反转，23Q1集中度下降,华西证券,2023-05-11,证券,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586483744
非银金融行业2023年中期投资策略：基本面景气度延续，关注中特估主线,开源证券,2023-05-11,证券,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586482975
非银金融行业日报：沪深两市走势分化 券商资管业务结构持续优化,大同证券,2023-05-11,证券,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305111586479760
证券2022年及2023Q1业绩综述：自营为业绩胜负手，转型持续深化,山西证券,2023-05-10,证券,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586452265
证券行业二季度业绩前瞻&观点更新：2023Q2证券行业展业景气度继续处于向上修复通道，大金融赛道中券商板块滞涨明显。,财通证券,2023-05-10,证券,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586437423
证券行业深度报告：海外经纪商市场探析之东亚及欧洲篇-东亚一老一新接续发力，欧洲市场长期可图,东方证券,2023-05-10,证券,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305101586437400
证券行业2022年年报及2023年一季报业绩综述：2022年表现不佳，2023年一季度企稳回升,东莞证券,2023-05-09,证券,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586396475
证券23Q1季报综述&全年展望：基本面显著改善，估值修复可期,天风证券,2023-05-09,证券,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305091586396474
证券行业2022年年报暨2023年一季报综述：自营开门红，困境反转中,国信证券,2023-05-08,证券,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305081586352451
非银金融行业日报：沪指终止上行趋势 券商板块近期表现亮眼,大同证券,2023-05-06,证券,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305061586326781
证券行业2023年一季报综述：投资亮眼，业绩复苏,浙商证券,2023-05-05,证券,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305051586285713
证券行业2022年报&2023年一季报综述：盈利拐点显现，全面复苏可期,东吴证券,2023-05-04,证券,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586269499
金融科技系列一：看好两类财富管理机构在AI大模型落地中的受益机会,财通证券,2023-05-04,证券,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586268225
证券Ⅱ2023Q1基金销售渠道数据点评：独立三方平台市占率提升，居民财富迁移趋势开启,开源证券,2023-05-04,证券,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586267915
非银金融行业日报：三大指数走势分化 沪指实现三连阳,大同证券,2023-05-04,证券,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586267835
广发证券23Q1点评：投资业务贡献弹性，大财富管理业务持续领先,天风证券,2023-05-04,证券,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586266107
证券行业2023Q1公募基金保有规模数据点评：市场波动加剧，基金销售承压,东兴证券,2023-05-04,证券,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586264587
非银金融周报：中特估金融与AI+金融的双线机会,华西证券,2023-05-04,证券,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202305041586260462
东方证券1Q23点评：高弹性初步释放，看好财富管理长期发展,天风证券,2023-04-28,证券,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304281586054496
证券行业周报：投资业务改善推动回暖，看好业绩估值双提升,山西证券,2023-04-24,证券,https://data.eastmoney.com/report/zw_industry.jshtml?infocode=AP202304241585750827
